Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;20893;"Transportation Research Part C: Emerging Technologies";journal;"0968090X";2,860;Q1;180;345;1080;20105;11151;1072;8,78;58,28;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2023";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
2;21100854649;"IEEE Transactions on Transportation Electrification";journal;"23327782";2,772;Q1;79;1004;765;15805;6743;762;8,45;15,74;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2023";"Automotive Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Transportation (Q1)";"Energy; Engineering; Social Sciences"
3;5200152631;"IEEE Vehicular Technology Magazine";journal;"15566072";2,716;Q1;74;68;197;684;1231;169;4,34;10,06;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2006-2023";"Automotive Engineering (Q1)";"Engineering"
4;17393;"IEEE Transactions on Vehicular Technology";journal;"00189545, 19399359";2,714;Q1;222;1792;3711;51847;28499;3699;6,71;28,93;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1967-2023";"Aerospace Engineering (Q1); Applied Mathematics (Q1); Automotive Engineering (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering; Mathematics"
5;18378;"IEEE Transactions on Intelligent Transportation Systems";journal;"15580016, 15249050";2,580;Q1;201;1484;3053;59257;29560;3035;9,00;39,93;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2023";"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
6;21101021443;"eTransportation";journal;"25901168";2,470;Q1;38;78;134;5507;1990;130;15,03;70,60;Netherlands;Western Europe;"Elsevier B.V.";"2019-2023";"Automotive Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Transportation (Q1)";"Energy; Engineering; Social Sciences"
7;21100976127;"IEEE Transactions on Intelligent Vehicles";journal;"23798858";2,469;Q1;57;513;204;19021;2703;202;14,68;37,08;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2023";"Artificial Intelligence (Q1); Automotive Engineering (Q1); Control and Optimization (Q1)";"Computer Science; Engineering; Mathematics"
8;21101068037;"IEEE Open Journal of Vehicular Technology";journal;"26441330";1,935;Q1;20;69;90;3153;577;90;5,19;45,70;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2023";"Automotive Engineering (Q1)";"Engineering"
9;21100324363;"Vehicular Communications";journal;"22142096";1,775;Q1;53;91;208;6033;1640;206;7,18;66,30;United States;Northern America;"Elsevier Inc.";"2014-2023";"Automotive Engineering (Q1); Communication (Q1); Electrical and Electronic Engineering (Q1)";"Engineering; Social Sciences"
10;12383;"International Journal of Impact Engineering";journal;"0734743X";1,553;Q1;152;322;659;14385;4197;657;6,19;44,67;United Kingdom;Western Europe;"Elsevier Ltd";"1983-2024";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Ocean Engineering (Q1); Safety, Risk, Reliability and Quality (Q1)";"Engineering"
