Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;21101101212;"AI Open";journal;"26666510";8,119;Q1;16;21;46;1045;1720;44;18,17;49,76;China;Asiatic Region;"KeAi Communications Co.";"2020-2023";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
2;21100831443;"Nature Biomedical Engineering";journal;"2157846X";7,951;Q1;116;201;441;11275;8533;347;20,56;56,09;United States;Northern America;"Nature Publishing Group";"2017-2023";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
3;21100886132;"Science Robotics";journal;"24709476";6,601;Q1;101;94;297;3891;5224;233;16,40;41,39;United States;Northern America;"American Association for the Advancement of Science";"2016-2023";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
4;18935;"IEEE Wireless Communications";journal;"15361284";5,926;Q1;188;167;460;1879;5302;420;10,00;11,25;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2023";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
5;21100274221;"IEEE Transactions on Cybernetics";journal;"21682275, 21682267";5,641;Q1;185;797;2103;31222;26174;2103;10,59;39,17;United States;Northern America;"IEEE Advancing Technology for Humanity";"2013-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
6;17249;"IEEE Communications Magazine";journal;"01636804";5,631;Q1;282;341;599;3566;5764;482;7,40;10,46;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1979-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
7;18933;"IEEE Transactions on Wireless Communications";journal;"15361276, 15582248";5,371;Q1;251;1086;1927;28831;19313;1927;9,40;26,55;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000, 2002-2023";"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering; Mathematics"
8;21100420802;"GigaScience";journal;"2047217X";4,621;Q1;88;109;395;7159;3822;395;11,10;65,68;United Kingdom;Western Europe;"Oxford University Press";"2012-2023";"Computer Science Applications (Q1); Health Informatics (Q1)";"Computer Science; Medicine"
9;17339;"IEEE Transactions on Automatic Control";journal;"00189286, 15582523";4,501;Q1;329;1007;1752;27160;12219;1751;6,50;26,97;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
10;144912;"IEEE Transactions on Industrial Informatics";journal;"15513203";4,420;Q1;193;1035;2489;30287;32448;2432;12,46;29,26;United States;Northern America;"IEEE Computer Society";"2005-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering"
11;21101012669;"npj Digital Medicine";journal;"23986352";4,273;Q1;84;232;508;11375;8001;434;12,51;49,03;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2023";"Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Health Professions; Medicine"
12;21100235616;"IEEE Transactions on Neural Networks and Learning Systems";journal;"2162237X, 21622388";4,170;Q1;251;1818;1894;46076;23364;1884;11,83;25,34;United States;Northern America;"IEEE Computational Intelligence Society";"2012-2023";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1)";"Computer Science"
13;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";4,105;Q1;271;60;207;4991;2019;205;7,27;83,18;United States;Northern America;"Management Information Systems Research Center";"1980-2021";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
14;21101049047;"Transactions of the Association for Computational Linguistics";journal;"2307387X";4,006;Q1;56;97;232;5911;5002;232;15,63;60,94;United States;Northern America;"MIT Press Journals";"2019-2023";"Artificial Intelligence (Q1); Communication (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
15;21100262320;"IEEE Transactions on Systems, Man, and Cybernetics: Systems";journal;"21682216, 21682232";3,992;Q1;171;682;1809;30712;17917;1803;10,19;45,03;United States;Northern America;"IEEE Advancing Technology for Humanity";"2011-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
16;29161;"ISPRS Journal of Photogrammetry and Remote Sensing";journal;"09242716";3,760;Q1;187;289;777;21339;10766;772;11,83;73,84;Netherlands;Western Europe;"Elsevier B.V.";"1989-2023";"Atomic and Molecular Physics, and Optics (Q1); Computer Science Applications (Q1); Computers in Earth Sciences (Q1); Engineering (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Computer Science; Earth and Planetary Sciences; Engineering; Physics and Astronomy; Social Sciences"
17;16733;"IEEE Transactions on Medical Imaging";journal;"02780062, 1558254X";3,703;Q1;259;362;1038;16564;12917;1037;9,83;45,76;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-2023";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Radiological and Ultrasound Technology (Q1); Software (Q1)";"Computer Science; Engineering; Health Professions"
18;95101;"IEEE Transactions on Robotics";journal;"15523098";3,669;Q1;190;287;503;14364;5784;503;11,72;50,05;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992, 2004-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
19;21100200203;"Wiley Interdisciplinary Reviews: Computational Molecular Science";journal;"17590876, 17590884";3,473;Q1;105;48;162;8571;2884;160;19,44;178,56;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2023";"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Materials Science; Mathematics"
20;26053;"IEEE Transactions on Industrial Electronics";journal;"02780046";3,395;Q1;341;1638;3601;34386;32055;3597;8,45;20,99;United States;Northern America;"IEEE Industrial Electronics Society";"1969-1978, 1982-2024";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
21;21100338350;"IEEE Internet of Things Journal";journal;"23274662";3,382;Q1;179;2188;4223;79060;43262;4195;9,22;36,13;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1); Signal Processing (Q1)";"Computer Science; Decision Sciences"
22;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";3,227;Q1;29;79;106;5426;2196;105;18,85;68,68;Netherlands;Western Europe;"Elsevier B.V.";"2020-2023";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
23;15700;"Journal of Management Information Systems";journal;"1557928X, 07421222";3,070;Q1;170;48;132;3917;1016;124;5,82;81,60;United States;Northern America;"M.E. Sharpe Inc.";"1987-2023";"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
24;19169;"Journal of Operations Management";journal;"18731317, 02726963";3,009;Q1;219;62;122;5143;960;111;6,49;82,95;Netherlands;Western Europe;"John Wiley &amp; Sons Inc.";"1980-1991, 1993-2023";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
25;18144;"Computer-Aided Civil and Infrastructure Engineering";journal;"14678667, 10939687";2,972;Q1;109;177;330;10794;3645;282;11,16;60,98;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2023";"Civil and Structural Engineering (Q1); Computational Theory and Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1)";"Computer Science; Engineering"
26;18080;"Robotics and Computer-Integrated Manufacturing";journal;"07365845";2,906;Q1;121;139;451;7589;6031;448;11,86;54,60;United Kingdom;Western Europe;"Elsevier Ltd";"1984-1994, 1996-2024";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
27;17362;"IEEE Transactions on Knowledge and Data Engineering";journal;"10414347";2,867;Q1;204;1048;941;47239;8405;941;8,47;45,08;United States;Northern America;"IEEE Computer Society";"1989-2023";"Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
28;20893;"Transportation Research Part C: Emerging Technologies";journal;"0968090X";2,860;Q1;180;345;1080;20105;11151;1072;8,78;58,28;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2023";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
29;22238;"Operations Research";journal;"0030364X, 15265463";2,848;Q1;161;132;400;6302;1292;399;2,63;47,74;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2023";"Computer Science Applications (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
30;21101076096;"Nature Computational Science";journal;"26628457";2,797;Q1;27;193;339;5889;1649;159;4,86;30,51;United States;Northern America;"Springer Nature";"2021-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1)";"Computer Science"
31;18378;"IEEE Transactions on Intelligent Transportation Systems";journal;"15580016, 15249050";2,580;Q1;201;1484;3053;59257;29560;3035;9,00;39,93;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2023";"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
32;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";2,578;Q1;61;62;183;3613;2510;178;11,28;58,27;Netherlands;Western Europe;"Springer Netherlands";"2016-2023";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
33;17945;"Bioinformatics";journal;"13674811, 13674803";2,574;Q1;462;873;2948;26831;17461;2932;4,60;30,73;United Kingdom;Western Europe;"Oxford University Press";"1985-2023";"Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
34;21101072502;"NAR Genomics and Bioinformatics";journal;"26319268";2,454;Q1;25;110;347;5970;1644;346;4,07;54,27;United Kingdom;Western Europe;"Oxford University Press";"2019-2023";"Applied Mathematics (Q1); Computer Science Applications (Q1); Genetics (Q1); Molecular Biology (Q1); Structural Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
