Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;21100274221;"IEEE Transactions on Cybernetics";journal;"21682275, 21682267";5,641;Q1;185;797;2103;31222;26174;2103;10,59;39,17;United States;Northern America;"IEEE Advancing Technology for Humanity";"2013-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
2;21100863648;"Foundations and Trends in Systems and Control";journal;"23256826, 23256818";5,016;Q1;19;0;6;0;60;6;10,67;0,00;United States;Northern America;"Now Publishers Inc";"2014-2021";"Control and Optimization (Q1); Control and Systems Engineering (Q1)";"Engineering; Mathematics"
3;21100367773;"IEEE/CAA Journal of Automatica Sinica";journal;"23299266, 23299274";4,696;Q1;83;240;510;10198;6783;458;14,59;42,49;United States;Northern America;"IEEE Advancing Technology for Humanity";"2014-2023";"Artificial Intelligence (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering; Mathematics"
4;21101073279;"Annual Review of Control, Robotics, and Autonomous Systems";journal;"25735144";4,633;Q1;36;18;70;2223;1203;70;13,64;123,50;United States;Northern America;"Annual Reviews Inc.";"2018-2023";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1)";"Computer Science; Engineering"
5;17339;"IEEE Transactions on Automatic Control";journal;"00189286, 15582523";4,501;Q1;329;1007;1752;27160;12219;1751;6,50;26,97;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1963-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
6;144912;"IEEE Transactions on Industrial Informatics";journal;"15513203";4,420;Q1;193;1035;2489;30287;32448;2432;12,46;29,26;United States;Northern America;"IEEE Computer Society";"2005-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering"
7;24242;"IEEE Transactions on Fuzzy Systems";journal;"10636706";4,204;Q1;218;426;1070;16592;11768;1062;10,99;38,95;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2023";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1)";"Computer Science; Engineering; Mathematics"
8;21100262320;"IEEE Transactions on Systems, Man, and Cybernetics: Systems";journal;"21682216, 21682232";3,992;Q1;171;682;1809;30712;17917;1803;10,19;45,03;United States;Northern America;"IEEE Advancing Technology for Humanity";"2011-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
9;95101;"IEEE Transactions on Robotics";journal;"15523098";3,669;Q1;190;287;503;14364;5784;503;11,72;50,05;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992, 2004-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
10;24909;"Automatica";journal;"00051098";3,502;Q1;318;540;1699;17882;10654;1679;5,44;33,11;United Kingdom;Western Europe;"Elsevier Ltd";"1963-2024";"Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Engineering"
