Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;21100922606;"Lancet Digital Health, The";journal;"25897500";7,277;Q1;66;133;394;3587;5304;193;13,67;26,97;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2023";"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Decision Sciences; Health Professions; Medicine"
2;22330;"Organizational Research Methods";journal;"15527425, 10944281";6,712;Q1;138;48;90;4280;1195;87;13,80;89,17;United States;Northern America;"SAGE Publications Inc.";"1998-2023";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
3;15298;"Structural Equation Modeling";journal;"15328007, 10705511";3,647;Q1;125;99;217;4796;1400;217;5,33;48,44;United Kingdom;Western Europe;"Psychology Press Ltd";"1994-2023";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
4;20037;"International Journal of Management Reviews";journal;"14608545, 14682370";3,049;Q1;136;46;74;7666;1016;70;13,63;166,65;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1999-2002, 2004-2023";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
5;21101092899;"Communications in Transportation Research";journal;"27724247";2,609;Q1;22;22;52;1339;585;43;11,25;60,86;China;Asiatic Region;"Tsinghua University";"2021-2023";"Control and Systems Engineering (Q1); Decision Sciences (miscellaneous) (Q1); Transportation (Q1)";"Decision Sciences; Engineering; Social Sciences"
6;20039;"International Journal of Operations and Production Management";journal;"17586593, 01443577";2,543;Q1;163;115;256;9773;2772;249;9,07;84,98;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1985, 1995-2023";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
7;21101044833;"Decision Making: Applications in Management and Engineering";journal;"26200104, 25606018";1,716;Q1;37;72;76;3477;893;76;11,80;48,29;Serbia;Eastern Europe;"Regional Association for Security and crisis management";"2018-2023";"Decision Sciences (miscellaneous) (Q1)";"Decision Sciences"
8;21283;"Management Learning";journal;"14617307, 13505076";1,682;Q1;88;64;114;4969;521;110;3,58;77,64;United Kingdom;Western Europe;"SAGE Publications Ltd";"1970-2023";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
9;130065;"Journal of Enterprise Information Management";journal;"17410398";1,648;Q1;82;106;242;9793;2529;236;9,79;92,39;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2004-2023";"Decision Sciences (miscellaneous) (Q1); Information Systems (Q1); Library and Information Sciences (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
10;20292;"Ecological Indicators";journal;"1470160X";1,633;Q1;183;1532;3836;103925;29765;3818;7,69;67,84;Netherlands;Western Europe;"Elsevier B.V.";"2001-2023";"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)";"Agricultural and Biological Sciences; Decision Sciences; Environmental Science"
11;21101028388;"Patterns";journal;"26663899";1,511;Q1;31;151;448;8056;2452;357;6,04;53,35;United States;Northern America;"Cell Press";"2020-2023";"Decision Sciences (miscellaneous) (Q1)";"Decision Sciences"
