Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";37,044;Q1;39;3;13;897;955;13;100,11;299,00;United States;Northern America;"Now Publishers Inc";"2008-2023";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
2;21101101212;"AI Open";journal;"26666510";8,119;Q1;16;21;46;1045;1720;44;18,17;49,76;China;Asiatic Region;"KeAi Communications Co.";"2020-2023";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
3;21101007236;"Nature Machine Intelligence";journal;"25225839";5,940;Q1;67;176;428;8504;7872;304;14,59;48,32;Switzerland;Western Europe;"Springer International Publishing";"2019-2023";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
4;21100274221;"IEEE Transactions on Cybernetics";journal;"21682275, 21682267";5,641;Q1;185;797;2103;31222;26174;2103;10,59;39,17;United States;Northern America;"IEEE Advancing Technology for Humanity";"2013-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
5;21101073279;"Annual Review of Control, Robotics, and Autonomous Systems";journal;"25735144";4,633;Q1;36;18;70;2223;1203;70;13,64;123,50;United States;Northern America;"Annual Reviews Inc.";"2018-2023";"Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1)";"Computer Science; Engineering"
6;21101049047;"Transactions of the Association for Computational Linguistics";journal;"2307387X";4,006;Q1;56;97;232;5911;5002;232;15,63;60,94;United States;Northern America;"MIT Press Journals";"2019-2023";"Artificial Intelligence (Q1); Communication (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
7;21100262320;"IEEE Transactions on Systems, Man, and Cybernetics: Systems";journal;"21682216, 21682232";3,992;Q1;171;682;1809;30712;17917;1803;10,19;45,03;United States;Northern America;"IEEE Advancing Technology for Humanity";"2011-2023";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
8;19700177034;"IEEE Transactions on Affective Computing";journal;"19493045";2,645;Q1;91;324;313;17779;3100;308;9,54;54,87;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010-2023";"Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
9;19419;"Computers in Human Behavior";journal;"07475632";2,641;Q1;251;425;1112;34735;14865;1093;12,72;81,73;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2024";"Arts and Humanities (miscellaneous) (Q1); Human-Computer Interaction (Q1); Psychology (miscellaneous) (Q1)";"Arts and Humanities; Computer Science; Psychology"
10;21100900379;"IEEE Robotics and Automation Letters";journal;"23773766";2,119;Q1;104;1093;3600;34552;21816;3595;5,46;31,61;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2023";"Artificial Intelligence (Q1); Biomedical Engineering (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Human-Computer Interaction (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
