Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;15631;"International Journal of Information Management";journal;"02684012";5,775;Q1;177;95;464;9818;13119;450;24,28;103,35;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2024";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
2;15574;"Information Systems Research";journal;"15265536, 10477047";4,176;Q1;185;89;218;6841;1687;216;6,45;76,87;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1990-2023";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
3;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";4,105;Q1;271;60;207;4991;2019;205;7,27;83,18;United States;Northern America;"Management Information Systems Research Center";"1980-2021";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
4;15074;"European Journal of Information Systems";journal;"0960085X, 14769344";3,824;Q1;128;89;121;8012;1961;109;12,39;90,02;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1995-2023";"Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
5;21100338350;"IEEE Internet of Things Journal";journal;"23274662";3,382;Q1;179;2188;4223;79060;43262;4195;9,22;36,13;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1); Signal Processing (Q1)";"Computer Science; Decision Sciences"
6;12396;"Journal of Strategic Information Systems";journal;"09638687";3,230;Q1;107;24;68;1885;758;54;8,43;78,54;Netherlands;Western Europe;"Elsevier B.V.";"1991-2023";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
7;15700;"Journal of Management Information Systems";journal;"1557928X, 07421222";3,070;Q1;170;48;132;3917;1016;124;5,82;81,60;United States;Northern America;"M.E. Sharpe Inc.";"1987-2023";"Computer Science Applications (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
8;21100787106;"Journal of Industrial Information Integration";journal;"2452414X";2,692;Q1;49;79;173;5427;2684;171;14,10;68,70;Netherlands;Western Europe;"Elsevier B.V.";"2016-2023";"Industrial and Manufacturing Engineering (Q1); Information Systems and Management (Q1)";"Decision Sciences; Engineering"
9;21915;"Omega";journal;"03050483";2,647;Q1;167;138;495;7830;4140;493;8,14;56,74;United Kingdom;Western Europe;"Elsevier B.V.";"1973-2024";"Information Systems and Management (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
10;12303;"Information and Management";journal;"03787206";2,594;Q1;191;100;357;10227;4542;352;10,27;102,27;Netherlands;Western Europe;"Elsevier B.V.";"1977-2023";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
11;21100933954;"Big Data and Society";journal;"20539517";2,448;Q1;69;118;272;7280;2359;218;6,75;61,69;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2023";"Communication (Q1); Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
12;22489;"European Journal of Operational Research";journal;"03772217";2,321;Q1;305;732;1950;40413;14714;1941;7,26;55,21;Netherlands;Western Europe;"Elsevier B.V.";"1977-2024";"Computer Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
13;15134;"Information Sciences";journal;"00200255";2,238;Q1;227;1367;3554;61452;29548;3543;7,89;44,95;United States;Northern America;"Elsevier Inc.";"1968-2024";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
14;24772;"Knowledge-Based Systems";journal;"09507051";2,219;Q1;169;897;2840;49776;25794;2839;8,47;55,49;Netherlands;Western Europe;"Elsevier B.V.";"1987-2023";"Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
15;21933;"Decision Support Systems";journal;"01679236";2,211;Q1;180;93;339;6001;3238;336;8,25;64,53;Netherlands;Western Europe;"Elsevier B.V.";"1985-2023";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Arts and Humanities; Business, Management and Accounting; Computer Science; Decision Sciences; Psychology"
16;28094;"Accounting, Organizations and Society";journal;"03613682";2,208;Q1;157;49;111;4588;674;108;4,41;93,63;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2023";"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Psychology; Social Sciences"
17;21926;"Decision Sciences";journal;"00117315, 15405915";2,145;Q1;123;48;143;2944;1151;142;5,20;61,33;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1970-2023";"Business, Management and Accounting (miscellaneous) (Q1); Information Systems and Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
18;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";2,137;Q1;34;65;137;5733;2127;137;15,53;88,20;Netherlands;Western Europe;"Elsevier B.V.";"2021-2023";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
19;21100791292;"Journal of Big Data";journal;"21961115";2,068;Q1;76;179;390;10811;5266;390;12,60;60,40;Switzerland;Western Europe;"Springer Nature";"2014-2023";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1)";"Computer Science; Decision Sciences"
20;18300156728;"IEEE Transactions on Services Computing";journal;"19391374";2,002;Q1;87;398;518;15144;3365;514;5,57;38,05;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2008-2023";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems and Management (Q1)";"Computer Science; Decision Sciences"
21;29170;"Critical Perspectives on Accounting";journal;"10452354, 10959955";1,941;Q1;85;90;145;8919;1110;131;7,93;99,10;United States;Northern America;"Academic Press";"1990-2023";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
22;21101019393;"IEEE Transactions on Big Data";journal;"23327790";1,821;Q1;24;151;201;7433;1498;194;7,78;49,23;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015, 2018-2023";"Information Systems (Q1); Information Systems and Management (Q1)";"Computer Science; Decision Sciences"
