Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;20206;"Academy of Management Review";journal;"03637425";10,486;Q1;306;43;146;4234;2361;137;17,09;98,47;United States;Northern America;"Academy of Management";"1978-1987, 1989-1991, 1996-2023";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
2;20191;"Academy of Management Journal";journal;"00014273";8,271;Q1;375;73;223;7952;2620;221;10,01;108,93;United States;Northern America;"Academy of Management";"1975-1987, 1989-2023";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
3;22330;"Organizational Research Methods";journal;"15527425, 10944281";6,712;Q1;138;48;90;4280;1195;87;13,80;89,17;United States;Northern America;"SAGE Publications Inc.";"1998-2023";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
4;22324;"Organization Science";journal;"15265455, 10477039";5,632;Q1;281;104;251;11655;1759;251;6,94;112,07;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1996-2023";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
5;28312;"Organization Studies";journal;"17413044, 01708406";5,349;Q1;179;108;237;6385;2008;232;7,92;59,12;United Kingdom;Western Europe;"SAGE Publications Ltd";"1980-2023";"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
6;23860;"Journal of Business Venturing";journal;"08839026";4,813;Q1;224;35;181;4060;2133;181;9,69;116,00;United States;Northern America;"Elsevier Inc.";"1985-2024";"Business and International Management (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting"
7;24392;"Journal of International Business Studies";journal;"00472506, 14786990";4,600;Q1;229;92;260;7073;3083;217;10,02;76,88;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1975-2023";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
8;20650;"Journal of Management Studies";journal;"00222380, 14676486";4,578;Q1;221;147;261;16011;3255;214;11,32;108,92;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1964-2023";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
9;24870;"Journal of Human Resources";journal;"15488004, 0022166X";4,524;Q1;123;56;147;3265;597;147;4,24;58,30;United States;Northern America;"University of Wisconsin Press";"1976-1982, 1990, 1992-2023";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
10;27069;"Human Relations";journal;"00187267, 1741282X";3,597;Q1;162;112;228;9975;2031;221;8,20;89,06;United Kingdom;Western Europe;"SAGE Publications Ltd";"1947-2023";"Arts and Humanities (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
